Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,-1.6,0.9
32,32,OKC,Álex Abrines,,3,174,2777,924,248,88,0.387,0.368,0.88,16,5.3,1.4,0.5,5,0.086,-1.9,0.1
33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-3.4,0
34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,-2.4,-0.5
35,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-6.6,-0.2
36,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4
37,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,0.4,0
38,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2
39,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3
40,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-10.8,-0.1
41,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.9,-0.2
42,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1
43,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,0.336,0.371,0.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.6,-0.4
44,44,DAL,Mike Muscala,Bucknell,10,495,7639,3049,1574,428,0.457,0.379,0.838,15.4,6.2,3.2,0.9,19.1,0.12,0.2,4.2
45,45,POR,Marko Todorović,,,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2
47,47,ATL,Raul Neto,,8,435,6765,2470,658,913,0.458,0.361,0.812,15.6,5.7,1.5,2.1,11.6,0.082,-1.5,0.8
48,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5
49,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1
50,50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,-1.5,0.9
51,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5
53,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.1,-0.1
56,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2
57,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,
60,60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
